"customer_id","AGE","INCOME","GENDER","EDUCATION","LOAN_PURPOSE","APPLICATION_RECEIVE_TIME","HAS_APPLIED_BEFORE","HAS_INCOME_VERIFICATION","LOAN_WAS_PAID_BACK"
36527,48,1e+07,"Female","Master's Degree/Post graduate","Renovation",11:13:00,"No","Yes",1
36528,44,1e+07,"Female","Bachelor Degree","Credit card",07:01:00,"No","Yes",0
36529,34,1.7e+07,"Male","Bachelor Degree","Credit card",11:47:00,"No","Yes",1
36530,39,1.2e+07,"Female","Bachelor Degree",NA,22:07:00,"No","Yes",1
36531,38,6e+06,"Male","Bachelor Degree","Working Capital",17:02:00,"No","Yes",1
36532,37,8e+06,"Male","Bachelor Degree","Renovation",09:07:00,"No","Yes",1
36533,33,1.2e+07,"Female","Bachelor Degree","Renovation",10:32:00,"Yes","Yes",1
36534,30,5e+06,"Female","High School","Working Capital",05:44:00,"No","Yes",1
36535,36,2.5e+07,"Female","Bachelor Degree","Credit card",15:22:00,"No","Yes",1
36536,31,1.2e+07,"Male","Diploma","Credit card",07:07:00,"No","Yes",1
36537,31,4e+06,"Male","Bachelor Degree","Working Capital",13:09:00,"No","Yes",1
36538,37,6e+06,"Male","Bachelor Degree","Credit card",00:55:00,"No","Yes",1
36539,39,4e+06,"Female","High School","Working Capital",21:42:00,"Yes","Yes",1
36540,37,4e+06,"Male","Diploma","Renovation",14:40:00,"Yes","Yes",1
36541,37,4e+06,"Male","High School","Renovation",05:31:00,"Yes","Yes",1
36542,38,4e+06,"Female","High School","Credit card",10:32:00,"No","Yes",1
36543,29,4e+06,"Female","High School","Working Capital",13:29:00,"No","Yes",1
36544,38,NA,"Female","Diploma","Renovation",00:57:00,"No","Yes",1
36545,35,4e+06,"Female","High School","Working Capital",12:45:00,"Yes","Yes",1
36546,44,1.3e+07,"Male","Bachelor Degree","Credit card",11:39:00,"No","Yes",1
36547,27,4e+06,"Male","Diploma","Renovation",14:24:00,"No","Yes",1
36548,29,1.7e+07,"Female","High School","Credit card",12:42:00,"No","Yes",1
36549,42,1.4e+07,"Female","Bachelor Degree","Holiday",13:13:00,"No","Yes",1
36550,29,5e+07,"Male","Bachelor Degree","Credit card",06:43:00,"No","Yes",1
36551,32,4e+06,"Male","Diploma","Renovation",16:23:00,"No","Yes",1
36552,39,2e+07,"Male","Bachelor Degree","Credit card",05:55:00,"Yes","Yes",1
36553,28,5e+06,"Male","High School","Working Capital",17:34:00,"Yes","Yes",1
36554,30,5e+06,"Male","High School","Renovation",06:48:00,"No","Yes",1
36555,36,6e+06,"Male","Bachelor Degree","Holiday",08:59:00,"Yes","Yes",1
36556,50,1.3e+07,"Male","Bachelor Degree","Working Capital",14:22:00,"No","Yes",1
36557,36,1.8e+07,"Male","Bachelor Degree","Renovation",06:12:00,"No","Yes",1
36558,45,1e+07,"Male","Diploma","Working Capital",08:32:00,"Yes","Yes",1
36559,29,4e+06,"Female","Diploma","Credit card",10:22:00,"No","Yes",1
36560,42,6e+06,"Female","Diploma","Holiday",09:58:00,"No","Yes",1
36561,42,5e+06,"Female","Bachelor Degree","Investment",20:16:00,"No","Yes",1
36562,39,4e+06,"Female","Diploma","Holiday",18:39:00,"No","Yes",1
36563,28,0,"Male","Bachelor Degree","Credit card",08:22:00,"No","Yes",1
36564,30,1.3e+07,"Female","Bachelor Degree","Holiday",15:18:00,"Yes","Yes",0
36565,27,4e+06,"Male","High School","Credit card",06:40:00,"No","Yes",1
36566,34,6e+06,"Male","Bachelor Degree","Renovation",14:23:00,"No","Yes",1
36567,40,7e+06,"Male","Bachelor Degree","Electronic unsecured loan",15:27:00,"No","Yes",1
36568,33,8e+06,"Female","Bachelor Degree","Working Capital",11:07:00,"No","Yes",1
36569,28,0,"Female","High School","Renovation",08:06:00,"Yes","Yes",1
36570,23,6e+06,"Male","Bachelor Degree","Renovation",23:39:00,"Yes","No",0
36571,35,6e+06,"Female","Bachelor Degree","Renovation",08:41:00,"Yes","Yes",1
36572,53,1.7e+07,"Female","Bachelor Degree","Renovation",21:18:00,"No","Yes",1
36573,37,1e+07,"Female","Bachelor Degree","Working Capital",08:55:00,"Yes","Yes",0
36574,28,4e+06,"Male","Bachelor Degree","Other",06:47:00,"Yes","Yes",1
36575,30,1e+07,"Male","Bachelor Degree","Renovation",09:52:00,"No","Yes",1
36576,32,7e+06,"Female","Bachelor Degree","Working Capital",11:53:00,"Yes","Yes",1
36577,36,8e+06,"Female","High School","Working Capital",20:27:00,"Yes","Yes",0
36578,40,7e+06,"Male","High School","Electronic unsecured loan",09:42:00,"No","Yes",1
36579,36,1.6e+07,"Male","Bachelor Degree","Credit card",14:04:00,"Yes","Yes",0
36580,28,9e+06,"Female","High School","Renovation",18:25:00,"Yes","Yes",1
36581,26,6e+06,"Male","High School","Venture capital",10:03:00,"No","Yes",1
36582,26,1.5e+07,"Female","Bachelor Degree","Holiday",15:34:00,"No","Yes",1
36583,36,7e+06,"Female","Bachelor Degree","Renovation",11:11:00,"No","Yes",1
36584,25,3e+06,"Male","Bachelor Degree","Working Capital",22:49:00,"Yes","Yes",0
36585,42,1.5e+07,"Male","Diploma","Renovation",10:06:00,"No","Yes",1
36586,51,1e+07,"Male","Bachelor Degree","Renovation",01:56:00,"No","Yes",1
36587,37,1.2e+07,"Female","Bachelor Degree","Credit card",18:17:00,"No","Yes",1
36588,39,5e+06,"Male","High School","Venture capital",07:15:00,"No","Yes",1
36589,38,1.5e+07,"Male","Bachelor Degree","Working Capital",09:02:00,"No","Yes",1
36590,31,8e+06,"Male","Bachelor Degree","Renovation",09:22:00,"Yes","Yes",0
36591,25,1.2e+07,"Male","Bachelor Degree","Renovation",08:41:00,"No","Yes",1
36592,30,8e+06,"Female","Master's Degree/Post graduate","Credit card",22:23:00,"Yes","Yes",1
36593,39,6e+06,"Female","Diploma","Electronic unsecured loan",18:20:00,"No","Yes",1
36594,32,1e+07,"Female","Bachelor Degree","Renovation",05:28:00,"Yes","Yes",0
36595,34,8e+06,"Female","Bachelor Degree","Renovation",17:19:00,"Yes","Yes",1
36596,29,5e+06,"Female","High School","Renovation",23:38:00,"No","Yes",1
36597,30,6e+06,"Female","Diploma","Renovation",07:54:00,"No","Yes",1
36598,36,1.1e+07,"Male","Bachelor Degree","Renovation",08:14:00,"Yes","Yes",1
36599,29,5e+06,"Male","Bachelor Degree","Renovation",18:38:00,"Yes","Yes",1
36600,42,6e+06,"Male","Bachelor Degree","Working Capital",11:40:00,"No","Yes",0
36601,34,1.4e+07,"Female","Bachelor Degree","Investment",16:37:00,"No","Yes",1
36602,39,6e+06,"Female","Diploma","Other",13:23:00,"No","No",1
36603,33,8e+06,"Male","High School","Working Capital",13:40:00,"No","Yes",1
36604,40,7e+06,"Male","Diploma","Credit card",09:38:00,"No","Yes",1
36605,31,8e+06,"Female","Bachelor Degree","Electronic unsecured loan",10:50:00,"Yes","Yes",1
36606,40,8e+06,"Male","Diploma","Working Capital",11:25:00,"No","Yes",0
36607,25,1.1e+07,"Female","Diploma","Working Capital",18:21:00,"Yes","Yes",1
36608,31,7e+06,"Male","Bachelor Degree","Electronic unsecured loan",07:29:00,"Yes","Yes",1
36609,31,9e+06,"Female","Bachelor Degree","Working Capital",13:47:00,"No","Yes",1
36610,47,8e+06,"Female","High School","Credit card",00:24:00,"No","Yes",0
36611,36,0,"Male","Bachelor Degree","Credit card",20:58:00,"No","Yes",1
36612,46,1.6e+07,"Male","Bachelor Degree","Electronic unsecured loan",18:21:00,"No","Yes",1
36613,41,7e+06,"Male","Diploma","Renovation",08:24:00,"Yes","Yes",1
36614,44,8e+06,"Female","Diploma","Working Capital",21:48:00,"No","Yes",0
36615,40,6e+06,"Female","High School","Credit card",03:03:00,"No","Yes",1
36616,38,1.4e+07,"Male","Bachelor Degree","Electronic unsecured loan",16:10:00,"No","Yes",0
36617,34,2.2e+07,"Male","Master's Degree/Post graduate","Working Capital",13:20:00,"Yes","Yes",1
36618,30,1.8e+07,"Female","Bachelor Degree","Investment",23:46:00,"No","Yes",1
36619,35,7e+06,"Male","Bachelor Degree","Renovation",10:47:00,"No","Yes",1
36620,31,7e+06,"Female","Diploma","Credit card",20:21:00,"Yes","Yes",1
36621,34,8e+06,"Male","Diploma","Working Capital",13:23:00,"Yes","Yes",1
36622,27,6e+06,"Male","Bachelor Degree","Renovation",05:13:00,"No","Yes",0
36623,28,4e+06,"Male","Bachelor Degree","Renovation",09:21:00,"No","Yes",1
36624,29,5e+06,"Male","Diploma","Credit card",09:03:00,"No","Yes",1
36625,30,1.3e+07,"Male","Bachelor Degree","Working Capital",09:58:00,"No","Yes",1
36626,29,9e+06,"Female","High School","Working Capital",10:36:00,"No","Yes",1
36627,53,2.9e+07,"Male","Bachelor Degree","Credit card",17:58:00,"No","Yes",1
36628,37,3e+06,"Male","Bachelor Degree","Credit card",15:16:00,"No","Yes",1
36629,32,1e+07,"Female","Bachelor Degree","Renovation",14:43:00,"No","Yes",1
36630,50,7e+06,"Male","Diploma","Renovation",19:46:00,"No","No",1
36631,35,4e+06,"Male","High School","Renovation",20:36:00,"No","Yes",1
36632,40,6e+06,"Female","Bachelor Degree","Working Capital",17:49:00,"No","Yes",1
36633,45,8e+06,"Female","Diploma","Renovation",10:36:00,"No","Yes",0
36634,35,7e+06,"Male","Diploma","Renovation",09:16:00,"No","Yes",1
36635,36,7e+06,"Female","Bachelor Degree","Working Capital",10:18:00,"Yes","Yes",1
36636,48,8e+06,"Male","Diploma","Credit card",19:10:00,"No","Yes",1
36637,37,6e+06,"Male","Bachelor Degree","Credit card",06:49:00,"No","Yes",1
36638,38,1e+07,"Male","Diploma","Working Capital",13:22:00,"Yes","Yes",1
36639,49,2.4e+07,"Male","Bachelor Degree","Working Capital",17:14:00,"No","Yes",1
36640,31,4e+06,"Male","Diploma","Renovation",20:50:00,"No","Yes",1
36641,43,4e+07,"Male","Diploma","Renovation",07:16:00,"Yes","Yes",1
36642,35,4e+06,"Male","High School","Credit card",08:44:00,"No","Yes",1
36643,29,1.2e+07,"Male","High School","Working Capital",19:58:00,"No","Yes",1
36644,39,1.5e+07,"Female","Bachelor Degree","Renovation",21:47:00,"No","Yes",1
36645,28,2.1e+07,"Male","Bachelor Degree","Investment",12:38:00,"No","Yes",1
36646,29,4e+06,"Female","Bachelor Degree","Working Capital",07:06:00,"No","Yes",1
36647,40,6e+06,"Male","Bachelor Degree","Renovation",10:38:00,"No","Yes",1
36648,36,1.4e+07,"Male","Bachelor Degree","Credit card",16:55:00,"No","Yes",1
36649,48,1e+07,"Female","Bachelor Degree","Working Capital",15:53:00,"No","Yes",1
36650,45,5e+06,"Male","Master's Degree/Post graduate","Working Capital",22:07:00,"Yes","Yes",1
36651,44,1.5e+07,"Male","Bachelor Degree","Credit card",09:53:00,"Yes","Yes",1
36652,27,5e+06,"Male","High School","Working Capital",14:54:00,"Yes","Yes",1
36653,25,8e+06,"Female","Bachelor Degree","Renovation",13:20:00,"Yes","Yes",1
36654,27,8e+06,"Male","High School","Renovation",11:19:00,"No","Yes",1
36655,49,1e+07,"Male","Diploma","Renovation",08:40:00,"Yes","Yes",1
36656,38,1e+07,"Female","Diploma","Working Capital",10:08:00,"No","Yes",1
36657,33,1.8e+07,"Male","Bachelor Degree","Venture capital",15:13:00,"No","Yes",1
36658,28,7e+06,"Male","Bachelor Degree","Credit card",10:09:00,"Yes","Yes",1
36659,38,1e+07,"Female","Bachelor Degree","Credit card",21:13:00,"Yes","Yes",1
36660,30,5e+06,"Male","Bachelor Degree","Renovation",08:22:00,"No","Yes",0
36661,36,9e+06,"Female","High School","Working Capital",09:51:00,"Yes","No",1
36662,37,2e+07,"Male","Diploma","Renovation",19:30:00,"No","Yes",1
36663,29,1.1e+07,"Male","Bachelor Degree","Renovation",18:01:00,"Yes","Yes",1
36664,48,1e+07,"Female","Diploma","Credit card",07:08:00,"No","Yes",1
36665,33,4e+06,"Female","High School","Renovation",12:30:00,"Yes","Yes",1
36666,25,1.4e+07,"Male","Bachelor Degree","Renovation",08:05:00,"No","Yes",1
36667,31,4e+06,"Female","High School","Credit card",11:15:00,"No","Yes",1
36668,30,6e+06,"Female","Diploma","Holiday",10:00:00,"No","Yes",1
36669,27,7e+06,"Female","High School","Working Capital",06:41:00,"Yes","Yes",0
36670,30,1.5e+07,"Male","Diploma","Renovation",12:09:00,"No","Yes",1
36671,35,9e+06,"Female","Bachelor Degree","Renovation",18:21:00,"No","Yes",1
36672,32,0,"Female","High School","Holiday",22:53:00,"No","Yes",1
36673,27,6e+06,"Female","High School","Working Capital",08:35:00,"Yes","Yes",1
36674,43,8e+06,"Female","Diploma","Renovation",19:28:00,"Yes","Yes",1
36675,36,7e+06,"Male","Bachelor Degree","Renovation",15:42:00,"No","Yes",1
36676,52,1.4e+07,"Female","Bachelor Degree","Renovation",14:17:00,"No","Yes",1
36677,34,4e+06,"Female","High School","Renovation",13:39:00,"No","Yes",1
36678,45,6e+06,"Female","Bachelor Degree","Renovation",16:32:00,"No","Yes",0
36679,27,4e+06,"Female","High School","Bills",11:04:00,"Yes","Yes",0
36680,26,1e+07,"Female","Bachelor Degree","Working Capital",11:32:00,"No","Yes",1
36681,52,6e+06,"Female","Bachelor Degree","Credit card",09:35:00,"Yes","Yes",1
36682,42,1.5e+07,"Male","Diploma","Renovation",15:22:00,"No","Yes",1
36683,35,7e+06,"Male","High School","Credit card",07:50:00,"No","Yes",1
36684,43,8e+06,"Female","Diploma","Renovation",22:45:00,"No","Yes",1
36685,38,6e+06,"Female","High School","Renovation",09:30:00,"Yes","Yes",1
36686,47,1.6e+07,"Female","Bachelor Degree","Credit card",05:29:00,"Yes","Yes",0
36687,35,1e+07,"Female","Bachelor Degree","Renovation",13:24:00,"No","Yes",1
36688,40,1.8e+07,"Male","Bachelor Degree","Credit card",15:22:00,"No","Yes",1
36689,28,8e+06,"Male","Bachelor Degree","Credit card",17:40:00,"No","No",1
36690,31,5e+06,"Male","Diploma","Working Capital",15:34:00,"No","Yes",0
36691,24,1.5e+07,"Male","Bachelor Degree","Housing loan",12:40:00,"No","Yes",1
36692,23,4e+06,"Male","Bachelor Degree","Working Capital",15:05:00,"Yes","Yes",1
36693,39,5e+06,"Female","Diploma","Working Capital",15:00:00,"Yes","Yes",0
36694,28,9e+06,"Male","Bachelor Degree","Renovation",14:27:00,"No","Yes",1
36695,44,8e+06,"Female","Diploma","Credit card",14:37:00,"No","Yes",1
36696,32,6e+06,"Male","Bachelor Degree","Working Capital",15:48:00,"Yes","Yes",1
36697,28,1.3e+07,"Male","Bachelor Degree","Renovation",11:47:00,"No","Yes",1
36698,37,7e+06,"Female","Bachelor Degree","Renovation",05:18:00,"No","Yes",1
36699,35,8e+07,"Male","Bachelor Degree","Renovation",17:38:00,"No","Yes",1
36700,38,9e+06,"Female","Bachelor Degree","Holiday",15:24:00,"Yes","Yes",0
36701,36,6e+06,"Male","High School","Credit card",16:53:00,"Yes","Yes",1
36702,38,0,"Male","Bachelor Degree","Renovation",03:20:00,"Yes","Yes",1
36703,36,5e+06,"Female","Diploma","Credit card",17:29:00,"Yes","Yes",1
36704,28,8e+06,"Male","Diploma","Credit card",04:39:00,"No","Yes",1
36705,24,5e+06,"Male","High School","Electronic unsecured loan",06:43:00,"Yes","Yes",0
36706,33,7e+06,"Male","Bachelor Degree","Working Capital",09:38:00,"No","Yes",0
36707,49,1e+07,"Male","High School","Credit card",09:54:00,"No","Yes",1
36708,42,6e+06,"Female","High School","Working Capital",16:14:00,"No","Yes",1
36709,31,7e+06,"Female","Diploma","Renovation",08:58:00,"No","Yes",1
36710,29,4e+06,"Female","High School","Renovation",13:08:00,"Yes","Yes",1
36711,31,4e+06,"Male","Bachelor Degree","Working Capital",20:12:00,"No","Yes",1
36712,29,7e+06,"Male","Diploma","Working Capital",09:17:00,"No","Yes",1
36713,50,3.5e+07,"Female","Master's Degree/Post graduate","Credit card",11:01:00,"No","Yes",1
36714,43,1.8e+07,"Female","Bachelor Degree","Renovation",10:28:00,"No","Yes",1
36715,41,6e+06,"Male","Diploma","Renovation",21:51:00,"Yes","Yes",0
36716,33,1.9e+07,"Male","Diploma","Working Capital",11:23:00,"No","Yes",1
36717,31,1.1e+07,"Female","Diploma","Renovation",10:47:00,"No","Yes",1
36718,48,6e+06,"Female","High School","Credit card",17:27:00,"No","Yes",0
36719,33,1.7e+07,"Male","Bachelor Degree","Venture capital",08:12:00,"No","Yes",1
36720,28,4e+06,"Female","High School","Working Capital",13:25:00,"Yes","Yes",0
36721,36,1e+07,"Female","Bachelor Degree","Credit card",20:20:00,"No","Yes",1
36722,33,1.2e+07,"Male","Bachelor Degree","Working Capital",07:33:00,"No","Yes",1
36723,47,4e+06,"Female","High School","Credit card",14:39:00,"No","Yes",1
36724,30,0,"Male","Diploma","Renovation",08:09:00,"No","Yes",1
36725,40,1e+07,"Male","Diploma","Renovation",08:04:00,"No","Yes",1
36726,22,4e+06,"Female","High School","Renovation",19:19:00,"No","Yes",0
36727,39,3e+06,"Male","High School","Working Capital",14:47:00,"No","Yes",1
36728,45,4e+07,"Female","Bachelor Degree","Renovation",16:53:00,"No","Yes",1
36729,29,6e+06,"Male","Diploma","Working Capital",08:46:00,"No","Yes",1
36730,33,7e+06,"Male","Bachelor Degree",NA,13:30:00,"No","Yes",1
36731,36,5e+06,"Male","Bachelor Degree","Renovation",06:31:00,"No","Yes",1
36732,35,7e+06,"Female","High School","Renovation",08:27:00,"Yes","Yes",1
36733,42,3e+06,"Female","Bachelor Degree","Working Capital",02:52:00,"No","Yes",1
36734,29,6e+06,"Female","Bachelor Degree","Working Capital",15:28:00,"Yes","Yes",0
36735,35,6e+06,"Male","Diploma","Working Capital",18:50:00,"Yes","Yes",1
36736,27,8e+06,"Male","Bachelor Degree","Working Capital",08:03:00,"No","Yes",1
36737,46,6e+06,"Male","Diploma","Credit card",09:33:00,"Yes","Yes",0
36738,49,1e+07,"Female","High School","Credit card",10:14:00,"No","Yes",1
36739,37,7e+06,"Male","Diploma","Working Capital",16:40:00,"No","Yes",1
36740,33,5e+06,"Female","Diploma","Renovation",08:44:00,"Yes","Yes",1
36741,30,1.5e+07,"Male","Bachelor Degree","Working Capital",06:06:00,"Yes","Yes",0
36742,47,1.2e+07,"Female","Bachelor Degree","Renovation",06:16:00,"No","Yes",1
36743,39,1e+07,"Male","Diploma","Working Capital",18:31:00,"No","Yes",1
36744,50,8e+06,"Female","Bachelor Degree","Renovation",16:33:00,"No","Yes",1
36745,47,7e+06,"Male","Bachelor Degree","Renovation",18:11:00,"No","Yes",1
36746,35,5e+06,"Male","Bachelor Degree","Renovation",17:43:00,"Yes","Yes",1
36747,28,4e+06,"Female","High School","Renovation",08:27:00,"No","Yes",1
36748,43,1.4e+07,"Female","Bachelor Degree","Renovation",11:38:00,"No","Yes",1
36749,35,5e+06,"Male","Bachelor Degree","Electronic unsecured loan",11:08:00,"No","Yes",1
36750,32,5e+06,"Male","High School","Credit card",14:21:00,"Yes","Yes",1
36751,47,4e+06,"Male","High School","Credit card",10:55:00,"No","Yes",1
36752,30,8e+06,"Female","Bachelor Degree","Renovation",09:32:00,"Yes","Yes",1
36753,34,8e+06,"Female","Master's Degree/Post graduate","Renovation",14:47:00,"Yes","Yes",1
36754,38,2.5e+07,"Female","Bachelor Degree","Renovation",21:13:00,"No","Yes",0
36755,29,8e+06,"Female","Diploma","Renovation",21:55:00,"No","Yes",1
36756,43,2e+07,"Male","Diploma","Credit card",08:05:00,"No","Yes",1
36757,39,4e+06,"Male","Bachelor Degree","Working Capital",20:08:00,"Yes","Yes",1
36758,48,1.2e+07,"Male","Diploma","Credit card",12:18:00,"Yes","Yes",1
36759,46,6e+06,"Female","High School","Bills",23:51:00,"No","Yes",1
36760,45,1.8e+07,"Female","Bachelor Degree","Credit card",11:28:00,"No","Yes",1
36761,41,3.2e+07,"Female","Bachelor Degree","Renovation",23:34:00,"Yes","Yes",1
36762,38,5e+06,"Male","Bachelor Degree","Venture capital",10:16:00,"No","Yes",1
36763,41,4e+06,"Male","High School","Credit card",13:25:00,"Yes","Yes",1
36764,36,5e+06,"Female","Bachelor Degree","Credit card",18:31:00,"No","Yes",1
36765,35,8e+06,"Male","Bachelor Degree","Working Capital",20:39:00,"Yes","Yes",1
36766,32,4e+06,"Male","Diploma","Holiday",15:15:00,"Yes","Yes",1
36767,39,1.6e+07,"Female","Bachelor Degree","Renovation",16:41:00,"No","Yes",1
36768,41,6e+06,"Female","High School","Renovation",09:22:00,"Yes","Yes",1
36769,47,5e+06,"Male","Diploma","Renovation",17:42:00,"Yes","Yes",1
36770,23,4e+06,"Female","Bachelor Degree","Working Capital",09:54:00,"No","Yes",1
36771,43,1e+07,"Female","Bachelor Degree","Housing loan",17:32:00,"No","Yes",1
36772,35,1.1e+07,"Female","Bachelor Degree","Working Capital",07:54:00,"No","Yes",0
36773,30,6e+06,"Male","Diploma","Credit card",08:04:00,"Yes","Yes",1
36774,29,9e+06,"Male","Bachelor Degree","Venture capital",23:14:00,"No","Yes",1
36775,47,1.3e+07,"Male","Bachelor Degree","Renovation",06:44:00,"No","Yes",1
36776,40,6e+06,"Female","Bachelor Degree","Credit card",09:49:00,"No","Yes",1
36777,41,5e+06,"Female","High School","Renovation",19:37:00,"No","Yes",0
36778,35,6e+06,"Male","Bachelor Degree","Working Capital",07:47:00,"No","Yes",1
36779,43,2e+07,"Female","Bachelor Degree","Renovation",08:30:00,"No","Yes",1
36780,28,4e+06,"Female","High School","Working Capital",19:56:00,"No","Yes",0
36781,34,9e+06,"Male","Master's Degree/Post graduate","Bills",01:46:00,"No","Yes",1
36782,34,8e+06,"Female","Diploma","Renovation",15:29:00,"No","Yes",1
36783,38,3e+06,"Female","High School","Credit card",12:28:00,"Yes","Yes",0
36784,51,1.1e+07,"Female","Master's Degree/Post graduate","Working Capital",14:17:00,"Yes","Yes",1
36785,28,4e+06,"Male","Diploma","Working Capital",05:45:00,"No","Yes",1
36786,29,1e+07,"Male","Bachelor Degree","Working Capital",10:35:00,"No","Yes",1
36787,31,5e+06,"Male","Bachelor Degree","Renovation",20:12:00,"No","Yes",1
36788,31,1.2e+07,"Female","Bachelor Degree","Credit card",23:33:00,"No","Yes",1
36789,43,1e+07,"Male","Bachelor Degree","Electronic unsecured loan",00:47:00,"No","Yes",1
36790,32,4e+06,"Male","Bachelor Degree","Working Capital",07:48:00,"Yes","Yes",1
36791,39,1e+07,"Female","Bachelor Degree","Working Capital",11:53:00,"No","Yes",1
36792,47,6e+06,"Male","Diploma","Credit card",09:52:00,"No","Yes",1
36793,33,7e+06,"Female","Bachelor Degree","Electronic unsecured loan",12:22:00,"No","No",0
36794,31,6e+06,"Female","High School","Renovation",17:18:00,"Yes","Yes",1
36795,35,4e+06,"Male","Bachelor Degree","Renovation",07:42:00,"No","Yes",1
36796,29,1.6e+07,"Male","Master's Degree/Post graduate","Housing loan",08:26:00,"No","Yes",1
36797,25,6e+06,"Male","High School","Renovation",13:02:00,"Yes","Yes",1
36798,30,6e+06,"Male","Bachelor Degree","Working Capital",15:16:00,"No","Yes",1
36799,44,6e+06,"Female","High School","Credit card",08:46:00,"No","Yes",1
36800,50,6e+06,"Male","Bachelor Degree","Credit card",17:48:00,"Yes","Yes",1
36801,49,0,"Female","Bachelor Degree","Credit card",10:09:00,"No","Yes",1
36802,27,4e+06,"Female","High School","Renovation",00:21:00,"Yes","Yes",1
36803,36,5e+06,"Male","High School","Renovation",11:06:00,"No","Yes",1
36804,42,5e+06,"Male","Diploma","Education",18:52:00,"Yes","Yes",1
36805,34,7e+06,"Male","Bachelor Degree","Renovation",17:31:00,"No","Yes",1
36806,28,4e+06,"Female","High School","Working Capital",11:21:00,"No","Yes",1
36807,30,1.2e+07,"Male","Bachelor Degree","Bills",15:16:00,"Yes","Yes",1
36808,29,6e+06,"Male","Bachelor Degree","Working Capital",11:17:00,"No","Yes",1
36809,34,6e+06,"Female","High School","Credit card",19:22:00,"Yes","Yes",1
36810,27,4e+06,"Male","Bachelor Degree","Renovation",09:29:00,"Yes","Yes",0
36811,33,8e+06,"Male","Bachelor Degree","Credit card",15:23:00,"No","Yes",1
36812,33,8e+06,"Male","Bachelor Degree","Working Capital",21:46:00,"Yes","Yes",1
36813,40,1e+07,"Female","Bachelor Degree","Renovation",13:08:00,"No","Yes",1
36814,27,6e+06,"Female","Bachelor Degree","Renovation",11:47:00,"No","Yes",1
36815,47,8e+06,"Female","Diploma","Credit card",18:26:00,"No","Yes",1
36816,25,5e+06,"Male","Bachelor Degree","Renovation",20:11:00,"No","Yes",1
